Product Name,link,ean_value,Price,Image URL,Alt Text
Carne Bovina Moída Muffato Foods 500g,https://www.supermuffato.com.br/carne-bovina-moida-muffato-foods-500g-273446/p,7896278182356,14.02,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Cerveja Corona Extra Long Neck 330ml,https://www.supermuffato.com.br/cerveja-corona-extra-long-neck-330-ml-255486/p,7891149108718,6.9,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Queijo Mussarela Muffato Foods Batavo Fatiado 150g,https://www.supermuffato.com.br/queijo-mussarela-muffato-foods-batavo-fatiado-150g-280476/p,7896278183346,6.97,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Presunto Muffato Foods Frimesa Fatiado 200g,https://www.supermuffato.com.br/presunto-frimesa-sc-gord-mf-fat-200g-269543/p,7896278179066,6.97,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Refrigerante Antarctica Guaraná sem Açúcar Garrafa 2L,https://www.supermuffato.com.br/refrigerante-guarana-antarctica-zero-2l-12893/p,7891991001373,7.9,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Refrigerante Antarctica Guaraná Garrafa 2L,https://www.supermuffato.com.br/refrigerante-guarana-antarctica-2-l-12886/p,7891991001342,7.9,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Refrigerante Pepsi Garrafa 2L,https://www.supermuffato.com.br/refrigerante-pepsi-cola-2-l-3859/p,7892840800000,6.7,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
"Suco Integral Aurora Uva Tinto 1,5L",https://www.supermuffato.com.br/suco-integral-aurora-uva-tinto-15l-289159/p,7891141036170,12.24,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Linguiça Pernil Granel Muffato Foods Kg,https://www.supermuffato.com.br/linguica-pernil-granel-muffato-foods-kg-288793/p,318631,14.02,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
Molho de Tomate Tradicional Heinz Sachê 300g,https://www.supermuffato.com.br/molho-de-tomate-tradicional-heinz-sache-300g-283749/p,7896102501896,4.1,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_duplo_black_friday_2023_prorrogado_01.png?v=638366839670430000,black friday 01
